accepted.name,family,source,organ.rough,application,symptoms.eng,ebds.level2
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,postpartum haemorrhage,injuries
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,abortive,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,adenitis,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,cholagogues,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,adenitis,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,hepatotropic,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,postpartum haemorrhage,injuries
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,cough,respiratory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,difficult puerperium,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,vulnerable,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,postpartum haemorrhage,injuries
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,dystocias,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,stomachic,digestive system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,seeds,NA,purifying,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,rheumatism,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,seeds,NA,malaria,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,dystocias,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,difficult puerperium,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,malaria,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,tapeworm,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,heart diseases,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,liver problems,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,dyspepsia,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,abortion,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,abortion,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,maceration,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,diuretics,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,seeds,NA,fever,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,hemorrhoids,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,decoction,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,maceration,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,vermifuge,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,hemorrhoids,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,adenites,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,albuminuria,genitourinary system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,decoction,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,maceration,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,abortion,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,vermifuge,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,decoction,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,vermifuge,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,malaria,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,hemorrhoids,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,malaria,infections/infestations
Abrus precatorius L.,Fabaceae,Akoègninou 2006,twigs,NA,hepatitis,NA
Abrus precatorius L.,Fabaceae,Kerharo & Adam1974,seeds,NA,abscess,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,teeth ache,skin/subcutaneous cellular tissue disorders
Abrus precatorius L.,Fabaceae,Kerharo & Adam1974,leaves,NA,gastralgies,NA
Abrus precatorius L.,Fabaceae,Kerharo & Adam1974,entire plant,NA,burns,injuries
Abrus precatorius L.,Fabaceae,Kerharo & Adam1974,leaves,NA,conjunctivitis,mental disorders
Abrus precatorius L.,Fabaceae,Akoègninou 2006,roots,NA,fever,infections/infestations
Abrus precatorius L.,Fabaceae,Akoègninou 2006,roots,NA,male infertility,genitourinary system disorders
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,catarrh,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,infantile diarrhea,digestive system disorders
Abrus precatorius L.,Fabaceae,Akoègninou 2006,twigs,NA,gonorrhea,infections/infestations
Abrus precatorius L.,Fabaceae,Berhaut1976,twigs,NA,gastrointestinal pain,pain
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,anemia,NA
Abrus melanospermus Hassk.,Fabaceae,Berhaut1976,leaves,NA,laxative,digestive system disorders
Abrus melanospermus Hassk.,Fabaceae,Berhaut1976,leaves,NA,diuretics,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,cough,respiratory system disorders
Abrus precatorius L.,Fabaceae,Berhaut1976,twigs,NA,delivery,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,twigs,NA,bronchitis,mental disorders
Abrus precatorius L.,Fabaceae,Berhaut1976,twigs,NA,aphrodisiac,genitourinary system disorders
Abrus melanospermus Hassk.,Fabaceae,Berhaut1976,leaves,NA,cough,respiratory system disorders
Abrus precatorius L.,Fabaceae,Akoègninou 2006,twigs,NA,cough,respiratory system disorders
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,aphthous,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,headache,skin/subcutaneous cellular tissue disorders
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,snake bite,poisonings
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,heart diseases,circulatory system disorders
Abrus precatorius L.,Fabaceae,Berhaut1976,twigs,NA,wounds,injuries
Abrus melanospermus Hassk.,Fabaceae,Berhaut1976,seeds,NA,poisonous,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,sore throat,skin/subcutaneous cellular tissue disorders
Abrus melanospermus Hassk.,Fabaceae,Berhaut1976,leaves,NA,fever,infections/infestations
Abrus precatorius L.,Fabaceae,Akoègninou 2006,seeds,NA,toxic,nutritional disorders
Abutilon pannosum (G.Forst.) Schltdl.,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,anti-inflammatory,inflammation
Abutilon grandifolium (Willd.) Sweet,Malvaceae,NA,twigs,decoction,tonic for elder people,nutritional disorders
Abutilon pannosum (G.Forst.) Schltdl.,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,emollient,skin/subcutaneous cellular tissue disorders
Abutilon grandifolium (Willd.) Sweet,Malvaceae,NA,twigs,NA,antiabortion,NA
Abutilon pannosum (G.Forst.) Schltdl.,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,purifying,NA
Abutilon pannosum (G.Forst.) Schltdl.,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,diuretics,NA
Abutilon pannosum (G.Forst.) Schltdl.,Malvaceae,Nacoulma-Ouédraogo1996,flowers,NA,diuretics,NA
Abutilon grandifolium (Willd.) Sweet,Malvaceae,NA,twigs,NA,cough,respiratory system disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,dysentery,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,twigs,NA,malaria,infections/infestations
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,hepatic,mental disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,twigs,NA,wounds,injuries
Acacia senegal (L.) Willd.,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,aphrodisiac,genitourinary system disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,twigs,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,purifying,NA
Acacia laeta R.Br. ex Benth.,Fabaceae,Krohmer2004,bark,NA,jaundice,NA
Acacia sieberiana,Fabaceae,Sereme2008,leaves,NA,gonorrhea,infections/infestations
Acacia tortilis (Forssk.) Hayne,Fabaceae,Arbonnier2002,bark,NA,dermatoses,NA
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,resin/latex/juice,NA,dysentery,NA
Acacia gerrardii Benth.,Fabaceae,Arbonnier2002,roots,NA,bilharzia,NA
Acacia senegal (L.) Willd.,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,otitis,mental disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,antibacterial agents,NA
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,twigs,NA,shingles,NA
Acacia seyal Delile,Fabaceae,Tapsoba2006,leaves,NA,toothache,skin/subcutaneous cellular tissue disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Zerbo2011,roots,NA,infections and infestations,infections/infestations
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,vermifuge,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Zerbo2011,bark,NA,digestive disorders,NA
Acacia gerrardii Benth.,Fabaceae,Arbonnier2002,roots,NA,bodily pain,pain
Acacia polyacantha Willd.,Fabaceae,Nadembega2011,bark,NA,skin disorders,NA
Acacia seyal Delile,Fabaceae,Arbonnier2002,roots,NA,dysmenorrhea,genitourinary system disorders
Acacia macrostachya Rchb. ex DC.,Fabaceae,Zerbo2011,leaves,NA,genitourinary disorders,NA
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,astringent,skin/subcutaneous cellular tissue disorders
Acacia sieberiana,Fabaceae,Sereme2008,roots,NA,colds,infections/infestations
Acacia tortilis (Forssk.) Hayne,Fabaceae,Arbonnier2002,bark,NA,skin affections,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,bloody diarrhea,digestive system disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,bark,NA,dysentery,NA
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,vaginitis,mental disorders
Acacia hockii De Wild.,Fabaceae,Arbonnier2002,leaves,NA,abscess,NA
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,gonorrhea,infections/infestations
Acacia tortilis (Forssk.) Hayne,Fabaceae,Arbonnier2002,bark,NA,vermifuge,NA
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,antiprotozoal,infections/infestations
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,cough,respiratory system disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,antiseptics,NA
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,antispasmodic,NA
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,cholagogue,NA
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,diuretic,NA
Acacia seyal Delile,Fabaceae,Krohmer2004,wood,NA,jaundice,NA
Acacia gerrardii Benth.,Fabaceae,Arbonnier2002,bark,NA,asthma,respiratory system disorders
Acacia senegal (L.) Willd.,Fabaceae,Nadembega2011,bark,NA,malaria,infections/infestations
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,antiprotozoal,infections/infestations
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,astringent,skin/subcutaneous cellular tissue disorders
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,helminthiasis,NA
Acacia sieberiana,Fabaceae,Sereme2008,bark,NA,bilharzia,NA
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,syphilis,infections/infestations
Acacia macrostachya Rchb. ex DC.,Fabaceae,Kirstensen2003,roots,NA,cough,respiratory system disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,twigs,NA,skin diseases,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Kirstensen2003,bark,NA,difficult births,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,twigs,NA,heart disorders,NA
Acacia gourmaensis A.Chev.,Fabaceae,Ky2009,bark,decoction,malaria,infections/infestations
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,gonorrhea,infections/infestations
Acacia sieberiana,Fabaceae,Sereme2008,roots,NA,gonorrhea,infections/infestations
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,hydragogue,digestive system disorders
Acacia hockii De Wild.,Fabaceae,Krohmer2004,bark,NA,diarrhea,digestive system disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,tooth decay,NA
Acacia tortilis (Forssk.) Hayne,Fabaceae,Arbonnier2002,bark,NA,disinfectant,skin/subcutaneous cellular tissue disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Kirstensen2003,bark,NA,sore throat,skin/subcutaneous cellular tissue disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Sereme2008,roots,NA,infections of the mouth,NA
Acacia sieberiana DC.,Fabaceae,Sereme2008,roots,NA,gonorrhea,infections/infestations
Acacia polyacantha Willd.,Fabaceae,Arbonnier2002,bark,NA,syphilis,infections/infestations
Acacia polyacantha Willd.,Fabaceae,Arbonnier2002,bark,NA,edema,NA
Acacia polyacantha Willd.,Fabaceae,Nadembega2011,bark,charred,sterility,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Zerbo2011,bark,NA,poisons,NA
Acacia nilotica (L.) Willd. ex Del.,Fabaceae,Zerbo2011,fruits,NA,sensory disorders,NA
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,béchique,NA
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,headaches,skin/subcutaneous cellular tissue disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,analgesic,pain
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,blepharitis,mental disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,twigs,NA,premature born,NA
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,antiodontal,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Zerbo2007,leaves,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Acacia sieberiana,Fabaceae,Sereme2008,bark,NA,gonorrhea,infections/infestations
Acacia amythethophylla Steud. ex A.Rich.,Fabaceae,Arbonnier2002,wood,sawdust,injuries,injuries
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Sereme2008,roots,NA,inflammation,inflammation
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Sereme2008,roots,NA,scurvy,NA
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,astringent,skin/subcutaneous cellular tissue disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,vaginitis,mental disorders
Acacia sieberiana,Fabaceae,Ouoba2006,roots,NA,inflammation,inflammation
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,antispasmodic,NA
Acacia laeta R.Br. ex Benth.,Fabaceae,Arbonnier2002,bark,NA,asthma,respiratory system disorders
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,vermifuges,NA
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,diarrhea,digestive system disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,dysentery,NA
Acacia hockii De Wild.,Fabaceae,Krohmer2004,bark,NA,jaundice,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Krohmer2004,bark,NA,colic,digestive system disorders
Acacia polyacantha Willd.,Fabaceae,Nadembega2011,bark,NA,tonic,nutritional disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,light burns,injuries
Acacia nilotica (L.) Willd. ex Del.,Fabaceae,Zerbo2011,roots,NA,digestive disorders,NA
Acacia senegal (L.) Willd.,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,whitlow,skin/subcutaneous cellular tissue disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,aphrodisiac,genitourinary system disorders
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,sexual impairment,pain
Acacia nilotica (L.) Willd. ex Del.,Fabaceae,Zerbo2011,fruits,NA,infections and infestations,infections/infestations
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,conjunctivitis,mental disorders
Acacia tortilis (Forssk.) Hayne,Fabaceae,Arbonnier2002,bark,NA,wound,injuries
Acacia seyal Delile,Fabaceae,Tapsoba2006,bark,NA,toothache,skin/subcutaneous cellular tissue disorders
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,antiseptic,NA
Acacia seyal Delile,Fabaceae,Zerbo2007,bark,NA,conjunctiva,NA
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,jaundice,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Krohmer2004,bark,NA,jaundice,NA
Acacia sieberiana DC.,Fabaceae,Sereme2008,leaves,NA,bilharzia,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,antiseptics,NA
Acacia polyacantha Willd.,Fabaceae,Kerharo & Adam1974,roots,NA,snake bites,poisonings
Acacia dudgeonii Craib ex Holland,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,astringent,skin/subcutaneous cellular tissue disorders
Acacia macrostachya Reichenb. ex DC.,Fabaceae,Zerbo2011,leaves,NA,genitourinary disorders,NA
Acacia sieberiana DC.,Fabaceae,Kirstensen2003,roots,NA,acne,skin/subcutaneous cellular tissue disorders
Acacia macrostachya Rchb. ex DC.,Fabaceae,Zerbo2011,leaves,NA,poisons,NA
Acacia seyal Delile,Fabaceae,Zerbo2011,resin/latex/juice,NA,sensory disorders,NA
Acacia gourmaensis A.Chev.,Fabaceae,Krohmer2004,bark,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Acacia hockii De Wild.,Fabaceae,Krohmer2004,bark,NA,aches and pains,NA
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,aphrodisiac,genitourinary system disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,roots,NA,hemorrhoids,circulatory system disorders
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,antiseptics,NA
Acacia senegal (L.) Willd.,Fabaceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,diarrhea,digestive system disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,insectifuge,NA
Acacia nilotica,Fabaceae,Sereme2008,roots,NA,teeth ache,skin/subcutaneous cellular tissue disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,twigs,NA,fever,infections/infestations
Acacia sieberiana DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,astringent,skin/subcutaneous cellular tissue disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Sereme2008,roots,NA,teeth ache,skin/subcutaneous cellular tissue disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,twigs,NA,tonsillitis,mental disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,hemorrhage,injuries
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,headache,skin/subcutaneous cellular tissue disorders
Acacia seyal Delile,Fabaceae,Zerbo2007,bark,NA,dysentery,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,snake bites,poisonings
Acacia sieberiana DC.,Fabaceae,Sereme2008,roots,NA,bilharzia,NA
Acacia sieberiana DC.,Fabaceae,Kirstensen2003,roots,NA,colic,digestive system disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,gastrointestinal disorders,NA
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,roots,NA,tonic,nutritional disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,roots,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Acacia macrostachya Rchb. ex DC.,Fabaceae,Tapsoba2006,leaves,NA,toothache,skin/subcutaneous cellular tissue disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Zerbo2011,roots,NA,digestive disorders,NA
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,ulcers,skin/subcutaneous cellular tissue disorders
Acacia gerrardii Benth.,Fabaceae,Arbonnier2002,bark,NA,infantile diarrhea,digestive system disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Nadembega2011,fruits,NA,gastric ulcers,NA
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,resin/latex/juice,NA,hemorrhage,injuries
Acacia seyal Delile,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,peritonitis,NA
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,diuretics,NA
Acacia ataxacantha DC.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,healing,NA
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,twigs,NA,colds,infections/infestations
Acacia macrostachya Rchb. ex DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,nausea,digestive system disorders
Acacia polyacantha Willd.,Fabaceae,Arbonnier2002,resin/latex/juice,NA,sore throat,skin/subcutaneous cellular tissue disorders
Acacia polyacantha Willd.,Fabaceae,Arbonnier2002,bark,NA,hemorrhoids,circulatory system disorders
Acacia sieberiana DC.,Fabaceae,Kirstensen2003,roots,NA,pain,pain
Acacia macrostachya Reichenb. ex DC.,Fabaceae,Zerbo2011,leaves,NA,poisons,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,dyspepsia,NA
Acacia macrostachya A. Rohb. ex DC.,Fabaceae,Zerbo2007,leaves,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,fractures,muscular-skeletal system disorders
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,leaves,NA,dermatoses,NA
Acacia seyal Delile,Fabaceae,Zerbo2011,resin/latex/juice,NA,digestive disorders,NA
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,purgatives,digestive system disorders
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,bark,NA,lint,NA
Acacia sieberiana DC.,Fabaceae,Kirstensen2003,bark,NA,snake bite,poisonings
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,roots,NA,conjuctivitis,mental disorders
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,flowers,NA,dermatoses,NA
Acacia gourmaensis A.Chev.,Fabaceae,Nacoulma-Ouédraogo1996,flowers,NA,fractures,muscular-skeletal system disorders
Acacia erythrocalyx Brenan,Fabaceae,Nacoulma-Ouédraogo1996,twigs,NA,the dystocia,NA
Acacia macrostachya Rchb. ex DC.,Fabaceae,Nacoulma-Ouédraogo1996,roots,NA,gonorrhea,infections/infestations
Acacia amythethophylla Steud. ex A.Rich.,Fabaceae,Arbonnier2002,wood,sawdust,wounds,injuries
Acacia dudgeonii Craib ex Holland,Fabaceae,Kirstensen2003,bark,NA,hemorrhoids,circulatory system disorders
Acacia dudgeonii Craib ex Holland,Fabaceae,Nadembega2011,roots,NA,skin diseases,NA
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Sereme2008,fruits,NA,dysentery,NA
Acacia amythethophylla Steud. ex A.Rich.,Fabaceae,Arbonnier2002,roots,NA,laxatives,digestive system disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,roots,NA,scurvy,NA
Acacia sieberiana,Fabaceae,Sereme2008,roots,NA,bilharzia,NA
Acacia laeta R.Br. ex Benth.,Fabaceae,Arbonnier2002,bark,NA,cough,respiratory system disorders
Acacia seyal Delile,Fabaceae,Zerbo2007,bark,NA,colic,digestive system disorders
Acacia seyal Delile,Fabaceae,Zerbo2007,resin/latex/juice,NA,cough,respiratory system disorders
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Zerbo2007,seeds,NA,earache,skin/subcutaneous cellular tissue disorders
Acacia hockii De Wild.,Fabaceae,Arbonnier2002,roots,NA,gastritis,mental disorders
Acacia amythethophylla Steud. ex A.Rich.,Fabaceae,Arbonnier2002,roots,NA,skin infections,infections/infestations
Acacia nilotica (L) Willd. ex Del.,Fabaceae,Zerbo2007,bark,NA,dysentery,NA
Acacia nilotica (L) Willd. ex Del.,Fabaceae,Zerbo2007,roots,NA,ballooning,NA
Acacia sieberiana,Fabaceae,Sereme2008,bark,NA,colds,infections/infestations
Acacia nilotica (L.) Willd. ex Delile,Fabaceae,Arbonnier2002,bark,NA,hemorrhage,injuries
Acacia nilotica (L.) Willd. ex Del.,Fabaceae,Zerbo2011,fruits,NA,digestive disorders,NA
Acacia senegal (L.) Willd.,Fabaceae,Nadembega2011,bark,NA,heart disorders,NA
