accepted.name,family,source,organ.rough,application,symptoms.eng,ebds.level2
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,roots,NA,infections and infestations,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Nadembega2011,bark,decoction,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,leaves,NA,infections and infestations,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,roots,NA,infections and infestations,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Alexandre2002,roots,NA,medicine,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Guinko1993,bark,NA,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,vomiting,digestive system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,roots,NA,nervous disorders,NA
Faidherbia albida (Del.) A. Chev.,Fabaceae,Alexandre2002,bark,NA,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Krohmer2004,roots,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,leaves,NA,nervous disorders,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Krohmer2004,roots,NA,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,disinfectant,skin/subcutaneous cellular tissue disorders
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,roots,NA,nervous disorders,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,influenza,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,malaria,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,tooth decay,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,whitlow,skin/subcutaneous cellular tissue disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2007,bark,NA,long cough -coqueluche-,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Krohmer2004,roots,NA,diarrhea,digestive system disorders
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,leaves,NA,infections and infestations,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Alexandre2002,bark,NA,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,bark,NA,infections and infestations,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,bark,NA,nervous disorders,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,febrifuge,NA
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,bark,NA,infections and infestations,infections/infestations
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2007,bark,NA,long-cough cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Guinko1993,bark,NA,teeth ache,skin/subcutaneous cellular tissue disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,leaves,NA,respiratory problems,mental disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Ky2009,bark,NA,articular breads,mental disorders
Faidherbia albida (Delile) A. Chev.,Fabaceae,Guinko1993,bark,NA,teeth ache,skin/subcutaneous cellular tissue disorders
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,bark,NA,nervous disorders,NA
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,roots,NA,respiratory problems,mental disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Kirstensen2003,bark,NA,difficult births,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,colds,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,roots,NA,respiratory problems,mental disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,wound,injuries
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,meadow,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Krohmer2004,roots,NA,fever,infections/infestations
Faidherbia albida (Delile) A.Chev.,Fabaceae,Ky2009,leaves,decoction,stomach ache,skin/subcutaneous cellular tissue disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Zerbo2011,bark,NA,respiratory problems,mental disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Ky2009,leaves,NA,cephalgias,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Ky2009,bark,NA,rum,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Kirstensen2003,bark,NA,cough,respiratory system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Krohmer2004,roots,NA,nausea,digestive system disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,urinary disorders,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Ky2009,bark,decoction,jaundice,NA
Faidherbia albida (Del.) A. Chev.,Fabaceae,Alexandre2002,roots,NA,medicine,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,difficult deliveries,NA
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,leaves,NA,respiratory problems,mental disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Ky2009,bark,NA,cough,respiratory system disorders
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,leaves,NA,nervous disorders,NA
Faidherbia albida (Delile) A.Chev.,Fabaceae,Krohmer2004,roots,NA,pneumonia,NA
Faidherbia albida (Del.) A. Chev.,Fabaceae,Zerbo2011,bark,NA,respiratory problems,mental disorders
Faidherbia albida (Delile) A.Chev.,Fabaceae,Arbonnier2002,bark,NA,diarrhea,digestive system disorders
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,leaves,NA,malaria,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Ky2009,flowers,maceration,articular breads,mental disorders
Feretia apodanthera Delile,Rubiaceae,Krohmer2004,roots,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,adenites,NA
Feretia apodanthera Delile,Rubiaceae,Ky2009,leaves,decoction,constipation,digestive system disorders
Feretia apodanthera Delile,Rubiaceae,Kirstensen2003,leaves,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,shigellose,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Ky2009,roots,NA,oral affections,NA
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,amoebic dysentery,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,entire plant,NA,snake bite,poisonings
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,gastroenteritis,mental disorders
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,leaves,NA,snake bite,poisonings
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,leaves,NA,tonic for elder people,nutritional disorders
Feretia apodanthera Delile,Rubiaceae,Ky2009,roots,decoction,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,itching,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,roots,NA,tonic for elder people,nutritional disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,fever,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,entire plant,NA,malaria,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Trarore2013,leaves,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,sexual asthenia,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,leaves,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,nervous agitation,NA
Feretia apodanthera Del,Rubiaceae,Trarore2013,leaves,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Trarore2013,roots,NA,stomach ache dysentery,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Del,Rubiaceae,Trarore2013,roots,NA,stomach ache dysentery,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,trichomoniasis,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,leaves,NA,hemorrhage,injuries
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,snake bite,poisonings
Feretia apodanthera Delile,Rubiaceae,Trarore2013,leaves,NA,dysentery,NA
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,flowers,NA,snake bite,poisonings
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,roots,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,roots,NA,malaria,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Arbonnier2002,fruits,NA,onchocerciasis,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,leaves,NA,headache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,gonorrhea,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,roots,NA,snake bite,poisonings
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,urethritis,mental disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,nausea,digestive system disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,colic,digestive system disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,syphilis,infections/infestations
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,agenesis,abnormalities
Feretia apodanthera Delile,Rubiaceae,Arbonnier2002,fruits,NA,wired,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,roots,NA,headache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,colic,digestive system disorders
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,entire plant,NA,tonic for elder people,nutritional disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,hepatitis,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,entire plant,NA,stomach ache,skin/subcutaneous cellular tissue disorders
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,roots,NA,asthenia,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,entire plant,NA,hemorrhage,injuries
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,agalactia,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,roots,NA,hemorrhage,injuries
Feretia apodanthera Del,Rubiaceae,Trarore2013,leaves,NA,dysentery,NA
Feretia apodanthera Delile,Rubiaceae,Nacoulma-Ouédraogo1996,leaves,NA,enteralgia,NA
Feretia apodanthera Delile,Rubiaceae,Nadembega2011,entire plant,NA,headache,skin/subcutaneous cellular tissue disorders
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,bark,NA,splenomegaly,NA
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,female sterility,genitourinary system disorders
Ficus ingens (Miq.) Miq.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,fractures,muscular-skeletal system disorders
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,gonorrhea,infections/infestations
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,agalactia,NA
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,intestinal worms,NA
Ficus ingens (Miq.) Miq.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,sprains,NA
Ficus trichopoda Baker,Moraceae,Olivier2012,leaves,NA,traditional medicine,NA
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,bark,NA,cough,respiratory system disorders
Ficus trichopoda Baker,Moraceae,Olivier2012,roots,NA,traditional medicine,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,hypogalactic,mental disorders
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,ocular trauma,NA
Ficus ingens (Miq.) Miq.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,neuralgia,NA
Ficus abutilifolia (Miq.) Miq.,Moraceae,Arbonnier2002,bark,NA,calming,NA
Ficus glumosa Delile,Moraceae,Arbonnier2002,resin/latex/juice,NA,sprain,NA
Ficus thonningii Blume,Moraceae,Tapsoba2006,leaves,NA,toothache,skin/subcutaneous cellular tissue disorders
Ficus trichopoda Baker,Moraceae,Arbonnier2002,bark,NA,asthenia,NA
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,dropsy,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,female sterility,genitourinary system disorders
Ficus sycomorus L.,Moraceae,Legani 2009,leaves,NA,renal diseases,NA
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,roots,NA,gastritis,mental disorders
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Ficus abutilifolia (Miq.) Miq.,Moraceae,Arbonnier2002,bark,NA,mastitis,mental disorders
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,obstructed labor,pregnancy/birth/puerperium disorders
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,traumatic fever,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,bronchial disorders,NA
Ficus glumosa Delile,Moraceae,Ky2009,bark,decoction,malaria,infections/infestations
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,roots,NA,urinary disorders,NA
Ficus ingens (Miq.) Miq.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,lesion of the nerves,abnormalities
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,dental pains,pain
Ficus thonningii Blume,Moraceae,Ouoba2006,leaves,NA,fracture,muscular-skeletal system disorders
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,female sterility,genitourinary system disorders
Ficus thonningii Blume,Moraceae,Nadembega2011,roots,NA,antiabortion,NA
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,fruits,NA,hemorrhoids,circulatory system disorders
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,wound of excision,injuries
Ficus glumosa Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,rheumatism,NA
Ficus glumosa Delile,Moraceae,Nacoulma-Ouédraogo1996,leaves,NA,convulsions,NA
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,bark,NA,pain,pain
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,leaves,NA,headache,skin/subcutaneous cellular tissue disorders
Ficus ingens (Miq.) Miq.,Moraceae,Zerbo2007,bark,NA,diarrhea,digestive system disorders
Ficus natalensis Hochst.,Moraceae,Arbonnier2002,leaves,NA,hematoma,NA
Ficus glumosa Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,inflammation,inflammation
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,mastitis,mental disorders
Ficus dicranostyla Mildbr.,Moraceae,NA,leaves,NA,soporific urticaria,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,dysentery,NA
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,adenitis,mental disorders
Ficus sycomorus L.,Moraceae,Alexandre2002,bark,NA,medicine,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,stomach aches,skin/subcutaneous cellular tissue disorders
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,bark,NA,circumcision wound,injuries
Ficus dicranostyla Mildbr.,Moraceae,NA,resin/latex/juice,NA,tooth decay,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,gonorrhea,infections/infestations
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,alopecia,NA
Ficus glumosa Delile,Moraceae,Ky2009,leaves,decoction,malaria,infections/infestations
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,roots,NA,cough,respiratory system disorders
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,delirium,mental disorders
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,agalactia,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,asthma,respiratory system disorders
Ficus thonningii Blume,Moraceae,Nadembega2011,twigs,NA,tuberculosis,infections/infestations
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,adenitis,mental disorders
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,fibroids of the uterus,NA
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,menopause,NA
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,agalactia,NA
